date,daily_score,weighted_tries,attempts,sends,mean_grade,max_grade,mean_grade_weight,max_grade_weight,leaky_load_3d,leaky_load_7d
2024-10-15,0.0,0.0,0.0,0.0,,,,,36.71239594340683,65.8501080760412
2024-10-16,0.0,0.0,0.0,0.0,,,,,26.305581179633162,57.084003387281065
2024-10-17,0.0,0.0,0.0,0.0,,,,,18.848772558047756,49.48486096569846
2024-10-18,9.131180342808277,16.0,17.0,15.0,3.0,8.0,0.6629140985962639,2.8576511180631634,22.636916046533507,52.0285126861827
2024-10-19,9.09730366948243,8.0,13.0,3.0,4.769230769230769,10.0,1.257544945081715,5.754602676005731,25.317362791653927,54.199671474006166
2024-10-20,0.0,0.0,0.0,0.0,,,,,18.140683141375877,46.984497374536296
2024-10-21,0.0,0.0,0.0,0.0,,,,,12.998367465993901,40.729822404855945
2024-10-22,4.24510498087574,4.5,7.0,2.0,4.857142857142857,6.0,1.0622263032745158,1.4190675485932571,13.558842256604056,39.55288788439515
2024-10-23,0.0,0.0,0.0,0.0,,,,,9.715335011987777,34.28752437827887
2024-10-24,14.539598185674194,9.5,13.0,6.0,5.846153846153846,9.0,1.6658908771687284,4.0551999668446745,21.500939914477218,44.26269530634973
2024-10-25,0.0,0.0,0.0,0.0,,,,,15.406096655488657,38.37035234445067
2024-10-26,21.962992662006716,8.0,14.0,2.0,5.714285714285714,12.0,3.036900653184001,11.588346719223386,33.001943289390475,55.225403115038574
2024-10-27,32.700127965364985,8.5,16.0,1.0,7.5,10.0,4.065644886351176,5.754602676005731,56.34705364199381,80.57380943058676
2024-10-28,0.0,0.0,0.0,0.0,,,,,40.37442819306943,69.84765469405843
2024-10-29,0.0,0.0,0.0,0.0,,,,,28.929541946847383,60.54938820366129
2024-10-30,11.907416435654772,30.0,30.0,30.0,2.2333333333333334,4.0,0.3969138811884924,0.7046880897187134,32.636339041128736,64.39634291280309
2024-10-31,0.0,0.0,0.0,0.0,,,,,23.3849587854705,55.82376649584324
2024-11-01,0.0,0.0,0.0,0.0,,,,,16.756055166267224,48.39238945606114
