id,time,grade,send/reps,type,weight,outside,effort,date,send,attempts,attempt_load,readiness,predicted_send_probability,grade_only_expected_send_probability,performance_residual
847,2024-08-01 19:39:09.943142,9,0,0,250.0,1,5,2024-08-01,0,1,81,2728.563791565222,0.019406575012279343,0.016442593182564774,-0.016442593182564774
848,2024-08-01 19:43:57.895467,9,0,0,250.0,0,5,2024-08-01,0,1,81,2728.563791565222,0.019406575012279343,0.016442593182564774,-0.016442593182564774
849,2024-08-01 19:58:49.725882,9,0,0,250.0,1,5,2024-08-01,0,1,81,2728.563791565222,0.019406575012279343,0.016442593182564774,-0.016442593182564774
850,2024-08-01 20:04:03.680103,9,0,0,250.0,1,5,2024-08-01,0,1,81,2728.563791565222,0.019406575012279343,0.016442593182564774,-0.016442593182564774
851,2024-08-01 20:09:11.073310,9,0,0,250.0,1,5,2024-08-01,0,1,81,2728.563791565222,0.019406575012279343,0.016442593182564774,-0.016442593182564774
852,2024-08-03 14:14:53.663501,9,0,0,250.0,0,5,2024-08-03,0,1,81,2846.534019899852,0.02017403246107761,0.016442593182564774,-0.016442593182564774
853,2024-08-03 14:22:53.239144,9,0,0,250.0,1,5,2024-08-03,0,1,81,2846.534019899852,0.02017403246107761,0.016442593182564774,-0.016442593182564774
854,2024-08-03 14:26:48.976217,9,0,0,250.0,1,5,2024-08-03,0,1,81,2846.534019899852,0.02017403246107761,0.016442593182564774,-0.016442593182564774
855,2024-08-03 14:31:47.543181,9,0,0,250.0,1,5,2024-08-03,0,1,81,2846.534019899852,0.02017403246107761,0.016442593182564774,-0.016442593182564774
856,2024-08-03 14:36:50.983397,9,0,0,250.0,0,5,2024-08-03,0,1,81,2846.534019899852,0.02017403246107761,0.016442593182564774,-0.016442593182564774
857,2024-08-03 14:41:38.785119,9,0,0,250.0,1,5,2024-08-03,0,1,81,2846.534019899852,0.02017403246107761,0.016442593182564774,-0.016442593182564774
858,2024-08-03 14:52:41.572241,9,0,0,250.0,0,5,2024-08-03,0,1,81,2846.534019899852,0.02017403246107761,0.016442593182564774,-0.016442593182564774
859,2024-08-03 15:02:53.489504,9,0,0,250.0,1,5,2024-08-03,0,1,81,2846.534019899852,0.02017403246107761,0.016442593182564774,-0.016442593182564774
860,2024-08-03 16:03:04.021183,7,0,0,250.0,1,5,2024-08-03,0,1,49,2846.534019899852,0.13022340166710247,0.10023392045771826,-0.10023392045771826
861,2024-08-03 16:06:52.991395,7,0,0,250.0,1,5,2024-08-03,0,1,49,2846.534019899852,0.13022340166710247,0.10023392045771826,-0.10023392045771826
862,2024-08-03 16:07:56.365159,7,0,0,250.0,1,5,2024-08-03,0,1,49,2846.534019899852,0.13022340166710247,0.10023392045771826,-0.10023392045771826
863,2024-08-03 16:16:54.999086,7,0,0,250.0,1,5,2024-08-03,0,1,49,2846.534019899852,0.13022340166710247,0.10023392045771826,-0.10023392045771826
864,2024-08-03 16:19:35.321509,7,0,0,250.0,1,5,2024-08-03,0,1,49,2846.534019899852,0.13022340166710247,0.10023392045771826,-0.10023392045771826
865,2024-08-03 16:29:53.058778,7,0,0,250.0,1,5,2024-08-03,0,1,49,2846.534019899852,0.13022340166710247,0.10023392045771826,-0.10023392045771826
866,2024-08-03 16:31:32.889253,7,0,0,250.0,1,5,2024-08-03,0,1,49,2846.534019899852,0.13022340166710247,0.10023392045771826,-0.10023392045771826
867,2024-08-03 16:43:55.109999,7,0,0,250.0,1,5,2024-08-03,0,1,49,2846.534019899852,0.13022340166710247,0.10023392045771826,-0.10023392045771826
868,2024-08-03 16:56:47.486717,7,1,0,250.0,1,5,2024-08-03,1,1,49,2846.534019899852,0.13022340166710247,0.10023392045771826,0.8997660795422817
869,2024-08-03 17:00:11.555760,9,0,0,250.0,1,5,2024-08-03,0,1,81,2846.534019899852,0.02017403246107761,0.016442593182564774,-0.016442593182564774
870,2024-08-03 17:37:02.326258,12,0,0,250.0,1,5,2024-08-03,0,1,144,2846.534019899852,0.0010488941953968758,0.0009709055450523682,-0.0009709055450523682
871,2024-08-03 17:54:03.490031,12,0,0,250.0,1,5,2024-08-03,0,1,144,2846.534019899852,0.0010488941953968758,0.0009709055450523682,-0.0009709055450523682
872,2024-08-03 18:02:15.888648,12,0,0,250.0,1,5,2024-08-03,0,1,144,2846.534019899852,0.0010488941953968758,0.0009709055450523682,-0.0009709055450523682
873,2024-08-03 18:10:49.294198,12,0,0,250.0,1,5,2024-08-03,0,1,144,2846.534019899852,0.0010488941953968758,0.0009709055450523682,-0.0009709055450523682
