"id","time","grade","send/reps","type","weight","outside","effort","pain","fear"
"3108","2026-02-14T15:33:30.036234","7","0","0","278.0","0","5","0","0"
"3107","2026-02-14T15:16:54.098486","7","0","0","278.0","0","5","0","0"
"3106","2026-02-14T15:12:06.691817","7","0","0","278.0","0","5","0","0"
"3105","2026-02-14T15:03:55.757035","4","1","0","278.0","0","5","0","0"
"3104","2026-02-14T14:59:02.215700","4","0","0","278.0","0","5","0","0"
"3103","2026-02-14T14:54:05.293291","4","0","0","278.0","0","5","0","0"
"3102","2026-02-14T14:52:32.083175","4","0","0","278.0","0","5","0","0"
"3101","2026-02-14T14:47:37.507043","4","1","0","278.0","0","5","0","0"
"3100","2026-02-14T14:43:05.705067","4","1","0","278.0","0","5","0","0"
"3099","2026-02-14T14:39:50.016003","3","1","0","278.0","0","5","0","0"
"3098","2026-02-11T21:54:22.190145","5","0","0","278.0","0","5","0","0"
"3097","2026-02-11T21:39:47.806549","4","1","0","278.0","0","5","0","0"
"3096","2026-02-11T21:23:21.411170","4","0","0","278.0","0","5","0","0"
"3095","2026-02-11T21:15:41.722111","4","1","0","278.0","0","5","0","0"
"3094","2026-02-11T21:14:54.481875","3","1","0","278.0","0","5","0","0"
"3093","2026-02-11T21:14:50.414644","3","1","0","278.0","0","5","0","0"
"3092","2026-02-11T21:11:00.303992","3","1","0","278.0","0","5","0","0"
"3091","2026-02-08T14:53:22.301900","4","1","0","278.0","0","5","0","0"
"3090","2026-02-04T22:05:48.716477","2","1","0","278.0","0","5","0","0"
"3089","2026-02-04T22:04:55.312617","3","1","0","278.0","0","5","0","0"
"3088","2026-02-04T22:04:47.601378","3","0","0","278.0","0","5","0","0"
"3087","2026-02-04T22:01:40.858501","6","0","0","278.0","0","5","0","0"
"3086","2026-02-04T21:59:53.328902","6","0","0","278.0","0","5","0","0"
"3085","2026-02-04T21:55:43.310470","5","1","0","278.0","0","5","0","0"
"3084","2026-02-04T21:50:22.862781","4","1","0","278.0","0","5","0","0"
"3083","2026-02-04T21:47:40.725195","4","1","0","278.0","0","5","0","0"
"3082","2026-02-04T21:43:57.620588","3","1","0","278.0","0","5","0","0"
"3081","2026-02-04T21:42:31.534297","6","0","0","278.0","0","5","0","0"
"3080","2026-02-04T21:42:23.924241","5","1","0","278.0","0","5","0","0"
"3079","2026-02-04T21:37:25.904875","4","1","0","278.0","0","5","0","0"
"3078","2026-02-04T21:35:23.906844","4","1","0","278.0","0","5","0","0"
"3077","2026-02-04T21:32:43.274997","1","1","0","278.0","0","5","0","0"
"3076","2026-02-04T21:32:37.149938","1","1","0","278.0","0","5","0","0"
"3075","2026-02-04T21:32:33.929266","2","1","0","278.0","0","5","0","0"
"3074","2026-02-04T21:32:24.839191","2","1","0","278.0","0","5","0","0"
"3073","2026-01-17T16:00:45.535483","9","0","0","278.0","1","5","0","0"
"3072","2026-01-17T15:40:38.961388","5","0","0","278.0","1","5","0","0"
"3071","2026-01-17T15:40:36.515541","5","0","0","278.0","1","5","0","0"
"3070","2026-01-17T15:40:31.236428","5","0","0","278.0","1","5","0","0"
"3069","2026-01-17T14:03:38.648045","6","0","0","278.0","1","5","0","0"
"3068","2026-01-17T13:51:07.913356","6","0","0","278.0","1","5","0","0"
